(X, Y): (230,60); ID:103
(X, Y): (240,60); ID:103
(X, Y): (250,60); ID:104
(X, Y): (260,60); ID:104
(X, Y): (270,60); ID:105
(X, Y): (280,60); ID:105
(X, Y): (290,60); ID:106
(X, Y): (300,60); ID:106
(X, Y): (310,60); ID:107
(X, Y): (320,60); ID:107
(X, Y): (330,60); ID:108
(X, Y): (340,60); ID:108
(X, Y): (350,60); ID:109
(X, Y): (360,60); ID:109
(X, Y): (370,60); ID:110
(X, Y): (380,60); ID:110
(X, Y): (390,60); ID:111
(X, Y): (400,60); ID:111
(X, Y): (410,60); ID:112
(X, Y): (420,60); ID:112
(X, Y): (430,60); ID:113
(X, Y): (440,60); ID:113
(X, Y): (450,60); ID:114
(X, Y): (460,60); ID:114
(X, Y): (470,60); ID:115
(X, Y): (480,60); ID:115
(X, Y): (490,60); ID:116
(X, Y): (500,60); ID:116
(X, Y): (510,60); ID:117
(X, Y): (520,60); ID:117
(X, Y): (530,60); ID:118
(X, Y): (540,60); ID:118
(X, Y): (550,60); ID:119
(X, Y): (560,60); ID:119
(X, Y): (570,60); ID:120
(X, Y): (580,60); ID:120
(X, Y): (590,60); ID:121
(X, Y): (600,60); ID:121
(X, Y): (610,60); ID:122
(X, Y): (620,60); ID:122
(X, Y): (630,60); ID:123
(X, Y): (640,60); ID:123
(X, Y): (650,60); ID:124
(X, Y): (660,60); ID:124
(X, Y): (670,60); ID:125
(X, Y): (680,60); ID:125
(X, Y): (690,60); ID:126
(X, Y): (700,60); ID:126
(X, Y): (710,60); ID:127
(X, Y): (720,60); ID:127
(X, Y): (730,60); ID:128
(X, Y): (740,60); ID:128
(X, Y): (60,60); ID:646
(X, Y): (70,60); ID:646
(X, Y): (780,60); ID:684
(X, Y): (790,60); ID:684
(X, Y): (0,70); ID:641
(X, Y): (10,70); ID:641
(X, Y): (20,70); ID:641
(X, Y): (30,70); ID:641
(X, Y): (40,70); ID:641
(X, Y): (50,70); ID:641
(X, Y): (800,70); ID:683
(X, Y): (810,70); ID:683
(X, Y): (820,70); ID:683
(X, Y): (830,70); ID:683
(X, Y): (840,70); ID:683
(X, Y): (850,70); ID:683
(X, Y): (110,70); ID:97
(X, Y): (120,70); ID:97
(X, Y): (130,70); ID:98
(X, Y): (140,70); ID:98
(X, Y): (150,70); ID:99
(X, Y): (160,70); ID:99
(X, Y): (170,70); ID:100
(X, Y): (180,70); ID:100
(X, Y): (190,70); ID:101
(X, Y): (200,70); ID:101
(X, Y): (210,70); ID:102
(X, Y): (220,70); ID:102
(X, Y): (230,70); ID:103
(X, Y): (240,70); ID:103
(X, Y): (250,70); ID:104
(X, Y): (260,70); ID:104
(X, Y): (270,70); ID:105
(X, Y): (280,70); ID:105
(X, Y): (290,70); ID:106
(X, Y): (300,70); ID:106
(X, Y): (310,70); ID:107
(X, Y): (320,70); ID:107
(X, Y): (330,70); ID:108
(X, Y): (340,70); ID:108
(X, Y): (350,70); ID:109
(X, Y): (360,70); ID:109
(X, Y): (370,70); ID:110
(X, Y): (380,70); ID:110
(X, Y): (390,70); ID:111
(X, Y): (400,70); ID:111
(X, Y): (410,70); ID:112
(X, Y): (420,70); ID:112
(X, Y): (430,70); ID:113
(X, Y): (440,70); ID:113
(X, Y): (450,70); ID:114
(X, Y): (460,70); ID:114
(X, Y): (470,70); ID:115
(X, Y): (480,70); ID:115
(X, Y): (490,70); ID:116
(X, Y): (500,70); ID:116
(X, Y): (510,70); ID:117
(X, Y): (520,70); ID:117
(X, Y): (530,70); ID:118
(X, Y): (540,70); ID:118
(X, Y): (550,70); ID:119
(X, Y): (560,70); ID:119
(X, Y): (570,70); ID:120
(X, Y): (580,70); ID:120
(X, Y): (590,70); ID:121
(X, Y): (600,70); ID:121
(X, Y): (610,70); ID:122
(X, Y): (620,70); ID:122
(X, Y): (630,70); ID:123
(X, Y): (640,70); ID:123
(X, Y): (650,70); ID:124
(X, Y): (660,70); ID:124
(X, Y): (670,70); ID:125
(X, Y): (680,70); ID:125
(X, Y): (690,70); ID:126
(X, Y): (700,70); ID:126
(X, Y): (710,70); ID:127
(X, Y): (720,70); ID:127
(X, Y): (730,70); ID:128
(X, Y): (740,70); ID:128
(X, Y): (60,70); ID:646
(X, Y): (70,70); ID:646
(X, Y): (780,70); ID:684
(X, Y): (790,70); ID:684
(X, Y): (0,100); ID:647
(X, Y): (10,100); ID:647
(X, Y): (20,100); ID:647
(X, Y): (30,100); ID:647
(X, Y): (40,100); ID:647
(X, Y): (50,100); ID:647
(X, Y): (800,100); ID:689
(X, Y): (810,100); ID:689
(X, Y): (820,100); ID:689
(X, Y): (830,100); ID:689
(X, Y): (840,100); ID:689
(X, Y): (850,100); ID:689
(X, Y): (110,100); ID:161
(X, Y): (120,100); ID:161
(X, Y): (130,100); ID:162
(X, Y): (140,100); ID:162
(X, Y): (150,100); ID:163
